x,y,v
7.016894759860226,-1.278637954788338,0.9606974295839223
7.1124450210492975,-1.206430168475602,0.9513538896461292
7.207029971121475,-1.132922896405161,0.9416064063097198
7.300998749519448,-1.05877125676062,0.9457986334826346
7.394853640239226,-0.9844622120851341,0.9400279441358375
7.488939745907381,-0.910635377064494,0.9424700514311818
7.58399642629352,-0.8377695887576899,0.9562571982664088
7.679336112960077,-0.7671323084253181,0.979476247694482
7.777988542870929,-0.6970719392295087,1.0032926070105126
7.878334040542931,-0.6306272945381148,1.0328735573255146
7.980269288751702,-0.568854704346118,1.0606237977805801
8.087295083369225,-0.5115561422739019,1.0935033820418527
8.196574601002547,-0.4612746266487894,1.1191309877017528
8.307386644758827,-0.41814622860727546,1.1453497463494524
8.425129301087166,-0.38969210975685,1.1757347031174448
